0000000601,scans,0000000052,DataLength
"header",0000000040,"lines"
"Date",19/11/2020,"Time",11:39:14
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","energy",0.00,30.00,0.05,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",-2,"%"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",5.75,"V"
"extractor",-42,"V"
"focus2",-352,"V"
"gate_delay",0.1,"uS"
"gate_width",30.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",10,"%"
"lens1",-68,"V"
"lens2",-112,"V"
"mass",40.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",30,"%"
"Data",1
"Cycle","Time","ms","energy V","SEM c/s"
0000000001,00:00:01,0000001381,    0.00,     20600
0000000001,00:00:01,0000001381,    0.05,     12300
0000000001,00:00:01,0000001381,    0.10,     11100
0000000001,00:00:01,0000001381,    0.15,      4200
0000000001,00:00:01,0000001381,    0.20,       800
0000000001,00:00:01,0000001381,    0.25,       500
0000000001,00:00:01,0000001381,    0.30,       400
0000000001,00:00:01,0000001381,    0.35,       700
0000000001,00:00:01,0000001381,    0.40,       600
0000000001,00:00:01,0000001381,    0.45,       600
0000000001,00:00:01,0000001381,    0.50,       700
0000000001,00:00:01,0000001381,    0.55,       500
0000000001,00:00:01,0000001381,    0.60,       400
0000000001,00:00:01,0000001381,    0.65,       900
0000000001,00:00:01,0000001381,    0.70,      1500
0000000001,00:00:01,0000001381,    0.75,      3400
0000000001,00:00:01,0000001381,    0.80,      6500
0000000001,00:00:01,0000001381,    0.85,      7200
0000000001,00:00:01,0000001381,    0.90,      8300
0000000001,00:00:01,0000001381,    0.95,      9600
0000000001,00:00:01,0000001381,    1.00,      7800
0000000001,00:00:01,0000001381,    1.05,      8300
0000000001,00:00:01,0000001381,    1.10,     12000
0000000001,00:00:01,0000001381,    1.15,     10400
0000000001,00:00:01,0000001381,    1.20,      9900
0000000001,00:00:01,0000001381,    1.25,      8800
0000000001,00:00:01,0000001381,    1.30,      8100
0000000001,00:00:01,0000001381,    1.35,      9900
0000000001,00:00:01,0000001381,    1.40,      5100
0000000001,00:00:01,0000001381,    1.45,      6000
0000000001,00:00:01,0000001381,    1.50,      7200
0000000001,00:00:01,0000001381,    1.55,      7900
0000000001,00:00:01,0000001381,    1.60,      7100
0000000001,00:00:01,0000001381,    1.65,      8300
0000000001,00:00:01,0000001381,    1.70,      7000
0000000001,00:00:01,0000001381,    1.75,      7500
0000000001,00:00:01,0000001381,    1.80,      7400
0000000001,00:00:01,0000001381,    1.85,     10300
0000000001,00:00:01,0000001381,    1.90,     10400
0000000001,00:00:01,0000001381,    1.95,     10400
0000000001,00:00:01,0000001381,    2.00,     11900
0000000001,00:00:01,0000001381,    2.05,     12400
0000000001,00:00:01,0000001381,    2.10,     11300
0000000001,00:00:01,0000001381,    2.15,      9600
0000000001,00:00:01,0000001381,    2.20,     11200
0000000001,00:00:01,0000001381,    2.25,     12900
0000000001,00:00:01,0000001381,    2.30,     10500
0000000001,00:00:01,0000001381,    2.35,     12900
0000000001,00:00:01,0000001381,    2.40,     10300
0000000001,00:00:01,0000001381,    2.45,     10100
0000000001,00:00:01,0000001381,    2.50,     10400
0000000001,00:00:01,0000001381,    2.55,     11700
0000000001,00:00:01,0000001381,    2.60,     14400
0000000001,00:00:01,0000001381,    2.65,     11000
0000000001,00:00:01,0000001381,    2.70,     10300
0000000001,00:00:01,0000001381,    2.75,     10800
0000000001,00:00:01,0000001381,    2.80,     11000
0000000001,00:00:01,0000001381,    2.85,     15000
0000000001,00:00:01,0000001381,    2.90,     11200
0000000001,00:00:01,0000001381,    2.95,     14500
0000000001,00:00:01,0000001381,    3.00,     13600
0000000001,00:00:01,0000001381,    3.05,     11100
0000000001,00:00:01,0000001381,    3.10,     10100
0000000001,00:00:01,0000001381,    3.15,     11600
0000000001,00:00:01,0000001381,    3.20,     14600
0000000001,00:00:01,0000001381,    3.25,     10800
0000000001,00:00:01,0000001381,    3.30,     11300
0000000001,00:00:01,0000001381,    3.35,     11200
0000000001,00:00:01,0000001381,    3.40,     14200
0000000001,00:00:01,0000001381,    3.45,      9800
0000000001,00:00:01,0000001381,    3.50,     13900
0000000001,00:00:01,0000001381,    3.55,     12700
0000000001,00:00:01,0000001381,    3.60,     16400
0000000001,00:00:01,0000001381,    3.65,     12800
0000000001,00:00:01,0000001381,    3.70,     13400
0000000001,00:00:01,0000001381,    3.75,     14100
0000000001,00:00:01,0000001381,    3.80,     16900
0000000001,00:00:01,0000001381,    3.85,     18900
0000000001,00:00:01,0000001381,    3.90,     18300
0000000001,00:00:01,0000001381,    3.95,     14900
0000000001,00:00:01,0000001381,    4.00,     22100
0000000001,00:00:01,0000001381,    4.05,     18600
0000000001,00:00:01,0000001381,    4.10,     19800
0000000001,00:00:01,0000001381,    4.15,     23700
0000000001,00:00:01,0000001381,    4.20,     23500
0000000001,00:00:01,0000001381,    4.25,     23400
0000000001,00:00:01,0000001381,    4.30,     26900
0000000001,00:00:01,0000001381,    4.35,     27400
0000000001,00:00:01,0000001381,    4.40,     32500
0000000001,00:00:01,0000001381,    4.45,     30600
0000000001,00:00:01,0000001381,    4.50,     33400
0000000001,00:00:01,0000001381,    4.55,     33100
0000000001,00:00:01,0000001381,    4.60,     33500
0000000001,00:00:01,0000001381,    4.65,     37200
0000000001,00:00:01,0000001381,    4.70,     36400
0000000001,00:00:01,0000001381,    4.75,     43200
0000000001,00:00:01,0000001381,    4.80,     42800
0000000001,00:00:01,0000001381,    4.85,     45400
0000000001,00:00:01,0000001381,    4.90,     48300
0000000001,00:00:01,0000001381,    4.95,     54200
0000000001,00:00:01,0000001381,    5.00,     57000
0000000001,00:00:01,0000001381,    5.05,     54700
0000000001,00:00:01,0000001381,    5.10,     56000
0000000001,00:00:01,0000001381,    5.15,     58400
0000000001,00:00:01,0000001381,    5.20,     62200
0000000001,00:00:01,0000001381,    5.25,     61800
0000000001,00:00:01,0000001381,    5.30,     67400
0000000001,00:00:01,0000001381,    5.35,     70700
0000000001,00:00:01,0000001381,    5.40,     72600
0000000001,00:00:01,0000001381,    5.45,     82700
0000000001,00:00:01,0000001381,    5.50,     75200
0000000001,00:00:01,0000001381,    5.55,     78500
0000000001,00:00:01,0000001381,    5.60,     82300
0000000001,00:00:01,0000001381,    5.65,     91600
0000000001,00:00:01,0000001381,    5.70,     88700
0000000001,00:00:01,0000001381,    5.75,     96500
0000000001,00:00:01,0000001381,    5.80,     97700
0000000001,00:00:01,0000001381,    5.85,     98800
0000000001,00:00:01,0000001381,    5.90,    102800
0000000001,00:00:01,0000001381,    5.95,    104400
0000000001,00:00:01,0000001381,    6.00,    108400
0000000001,00:00:01,0000001381,    6.05,    112400
0000000001,00:00:01,0000001381,    6.10,    110500
0000000001,00:00:01,0000001381,    6.15,    116200
0000000001,00:00:01,0000001381,    6.20,    118400
0000000001,00:00:01,0000001381,    6.25,    116500
0000000001,00:00:01,0000001381,    6.30,    118900
0000000001,00:00:01,0000001381,    6.35,    128900
0000000001,00:00:01,0000001381,    6.40,    130900
0000000001,00:00:01,0000001381,    6.45,    139100
0000000001,00:00:01,0000001381,    6.50,    133300
0000000001,00:00:01,0000001381,    6.55,    131300
0000000001,00:00:01,0000001381,    6.60,    136600
0000000001,00:00:01,0000001381,    6.65,    135900
0000000001,00:00:01,0000001381,    6.70,    142900
0000000001,00:00:01,0000001381,    6.75,    144900
0000000001,00:00:01,0000001381,    6.80,    152300
0000000001,00:00:01,0000001381,    6.85,    155400
0000000001,00:00:01,0000001381,    6.90,    156300
0000000001,00:00:01,0000001381,    6.95,    159400
0000000001,00:00:01,0000001381,    7.00,    153900
0000000001,00:00:01,0000001381,    7.05,    167400
0000000001,00:00:01,0000001381,    7.10,    162800
0000000001,00:00:01,0000001381,    7.15,    178100
0000000001,00:00:01,0000001381,    7.20,    175900
0000000001,00:00:01,0000001381,    7.25,    174000
0000000001,00:00:01,0000001381,    7.30,    178200
0000000001,00:00:01,0000001381,    7.35,    185300
0000000001,00:00:01,0000001381,    7.40,    177400
0000000001,00:00:01,0000001381,    7.45,    181800
0000000001,00:00:01,0000001381,    7.50,    176800
0000000001,00:00:01,0000001381,    7.55,    184400
0000000001,00:00:01,0000001381,    7.60,    179900
0000000001,00:00:01,0000001381,    7.65,    191400
0000000001,00:00:01,0000001381,    7.70,    181800
0000000001,00:00:01,0000001381,    7.75,    193300
0000000001,00:00:01,0000001381,    7.80,    193400
0000000001,00:00:01,0000001381,    7.85,    188400
0000000001,00:00:01,0000001381,    7.90,    196900
0000000001,00:00:01,0000001381,    7.95,    198500
0000000001,00:00:01,0000001381,    8.00,    201900
0000000001,00:00:01,0000001381,    8.05,    213100
0000000001,00:00:01,0000001381,    8.10,    213500
0000000001,00:00:01,0000001381,    8.15,    208800
0000000001,00:00:01,0000001381,    8.20,    204400
0000000001,00:00:01,0000001381,    8.25,    213800
0000000001,00:00:01,0000001381,    8.30,    212900
0000000001,00:00:01,0000001381,    8.35,    207800
0000000001,00:00:01,0000001381,    8.40,    223300
0000000001,00:00:01,0000001381,    8.45,    215800
0000000001,00:00:01,0000001381,    8.50,    220900
0000000001,00:00:01,0000001381,    8.55,    224800
0000000001,00:00:01,0000001381,    8.60,    215200
0000000001,00:00:01,0000001381,    8.65,    220600
0000000001,00:00:01,0000001381,    8.70,    227500
0000000001,00:00:01,0000001381,    8.75,    224700
0000000001,00:00:01,0000001381,    8.80,    229300
0000000001,00:00:01,0000001381,    8.85,    232800
0000000001,00:00:01,0000001381,    8.90,    236200
0000000001,00:00:01,0000001381,    8.95,    226100
0000000001,00:00:01,0000001381,    9.00,    234600
0000000001,00:00:01,0000001381,    9.05,    245900
0000000001,00:00:01,0000001381,    9.10,    229900
0000000001,00:00:01,0000001381,    9.15,    243900
0000000001,00:00:01,0000001381,    9.20,    235300
0000000001,00:00:01,0000001381,    9.25,    240200
0000000001,00:00:01,0000001381,    9.30,    250400
0000000001,00:00:01,0000001381,    9.35,    245300
0000000001,00:00:01,0000001381,    9.40,    240200
0000000001,00:00:01,0000001381,    9.45,    247200
0000000001,00:00:01,0000001381,    9.50,    256400
0000000001,00:00:01,0000001381,    9.55,    256700
0000000001,00:00:01,0000001381,    9.60,    251400
0000000001,00:00:01,0000001381,    9.65,    258400
0000000001,00:00:01,0000001381,    9.70,    244800
0000000001,00:00:01,0000001381,    9.75,    266300
0000000001,00:00:01,0000001381,    9.80,    258100
0000000001,00:00:01,0000001381,    9.85,    260700
0000000001,00:00:01,0000001381,    9.90,    265300
0000000001,00:00:01,0000001381,    9.95,    262200
0000000001,00:00:01,0000001381,   10.00,    265300
0000000001,00:00:01,0000001381,   10.05,    260200
0000000001,00:00:01,0000001381,   10.10,    271500
0000000001,00:00:01,0000001381,   10.15,    277300
0000000001,00:00:01,0000001381,   10.20,    267500
0000000001,00:00:01,0000001381,   10.25,    273300
0000000001,00:00:01,0000001381,   10.30,    276300
0000000001,00:00:01,0000001381,   10.35,    275600
0000000001,00:00:01,0000001381,   10.40,    291000
0000000001,00:00:01,0000001381,   10.45,    286300
0000000001,00:00:01,0000001381,   10.50,    301700
0000000001,00:00:01,0000001381,   10.55,    286000
0000000001,00:00:01,0000001381,   10.60,    286100
0000000001,00:00:01,0000001381,   10.65,    294000
0000000001,00:00:01,0000001381,   10.70,    289200
0000000001,00:00:01,0000001381,   10.75,    295500
0000000001,00:00:01,0000001381,   10.80,    294700
0000000001,00:00:01,0000001381,   10.85,    302200
0000000001,00:00:01,0000001381,   10.90,    312300
0000000001,00:00:01,0000001381,   10.95,    305300
0000000001,00:00:01,0000001381,   11.00,    298800
0000000001,00:00:01,0000001381,   11.05,    294500
0000000001,00:00:01,0000001381,   11.10,    295500
0000000001,00:00:01,0000001381,   11.15,    304500
0000000001,00:00:01,0000001381,   11.20,    302300
0000000001,00:00:01,0000001381,   11.25,    314500
0000000001,00:00:01,0000001381,   11.30,    313600
0000000001,00:00:01,0000001381,   11.35,    305100
0000000001,00:00:01,0000001381,   11.40,    302200
0000000001,00:00:01,0000001381,   11.45,    317300
0000000001,00:00:01,0000001381,   11.50,    318800
0000000001,00:00:01,0000001381,   11.55,    310600
0000000001,00:00:01,0000001381,   11.60,    313600
0000000001,00:00:01,0000001381,   11.65,    324100
0000000001,00:00:01,0000001381,   11.70,    318000
0000000001,00:00:01,0000001381,   11.75,    308500
0000000001,00:00:01,0000001381,   11.80,    321800
0000000001,00:00:01,0000001381,   11.85,    327900
0000000001,00:00:01,0000001381,   11.90,    330700
0000000001,00:00:01,0000001381,   11.95,    331500
0000000001,00:00:01,0000001381,   12.00,    344300
0000000001,00:00:01,0000001381,   12.05,    336000
0000000001,00:00:01,0000001381,   12.10,    340300
0000000001,00:00:01,0000001381,   12.15,    336900
0000000001,00:00:01,0000001381,   12.20,    337900
0000000001,00:00:01,0000001381,   12.25,    342100
0000000001,00:00:01,0000001381,   12.30,    331200
0000000001,00:00:01,0000001381,   12.35,    345700
0000000001,00:00:01,0000001381,   12.40,    346400
0000000001,00:00:01,0000001381,   12.45,    343200
0000000001,00:00:01,0000001381,   12.50,    342400
0000000001,00:00:01,0000001381,   12.55,    334000
0000000001,00:00:01,0000001381,   12.60,    356300
0000000001,00:00:01,0000001381,   12.65,    360400
0000000001,00:00:01,0000001381,   12.70,    358100
0000000001,00:00:01,0000001381,   12.75,    352900
0000000001,00:00:01,0000001381,   12.80,    348800
0000000001,00:00:01,0000001381,   12.85,    357600
0000000001,00:00:01,0000001381,   12.90,    347600
0000000001,00:00:01,0000001381,   12.95,    357000
0000000001,00:00:01,0000001381,   13.00,    359800
0000000001,00:00:01,0000001381,   13.05,    352100
0000000001,00:00:01,0000001381,   13.10,    363500
0000000001,00:00:01,0000001381,   13.15,    364200
0000000001,00:00:01,0000001381,   13.20,    367400
0000000001,00:00:01,0000001381,   13.25,    373700
0000000001,00:00:01,0000001381,   13.30,    370300
0000000001,00:00:01,0000001381,   13.35,    380400
0000000001,00:00:01,0000001381,   13.40,    380300
0000000001,00:00:01,0000001381,   13.45,    376700
0000000001,00:00:01,0000001381,   13.50,    382400
0000000001,00:00:01,0000001381,   13.55,    383100
0000000001,00:00:01,0000001381,   13.60,    379600
0000000001,00:00:01,0000001381,   13.65,    387300
0000000001,00:00:01,0000001381,   13.70,    383900
0000000001,00:00:01,0000001381,   13.75,    383500
0000000001,00:00:01,0000001381,   13.80,    402900
0000000001,00:00:01,0000001381,   13.85,    399200
0000000001,00:00:01,0000001381,   13.90,    392600
0000000001,00:00:01,0000001381,   13.95,    391500
0000000001,00:00:01,0000001381,   14.00,    402800
0000000001,00:00:01,0000001381,   14.05,    396100
0000000001,00:00:01,0000001381,   14.10,    391000
0000000001,00:00:01,0000001381,   14.15,    415500
0000000001,00:00:01,0000001381,   14.20,    400900
0000000001,00:00:01,0000001381,   14.25,    395600
0000000001,00:00:01,0000001381,   14.30,    401700
0000000001,00:00:01,0000001381,   14.35,    406000
0000000001,00:00:01,0000001381,   14.40,    415200
0000000001,00:00:01,0000001381,   14.45,    412500
0000000001,00:00:01,0000001381,   14.50,    413500
0000000001,00:00:01,0000001381,   14.55,    408300
0000000001,00:00:01,0000001381,   14.60,    424700
0000000001,00:00:01,0000001381,   14.65,    425700
0000000001,00:00:01,0000001381,   14.70,    412500
0000000001,00:00:01,0000001381,   14.75,    419400
0000000001,00:00:01,0000001381,   14.80,    414600
0000000001,00:00:01,0000001381,   14.85,    414700
0000000001,00:00:01,0000001381,   14.90,    416500
0000000001,00:00:01,0000001381,   14.95,    435000
0000000001,00:00:01,0000001381,   15.00,    431800
0000000001,00:00:01,0000001381,   15.05,    420600
0000000001,00:00:01,0000001381,   15.10,    428900
0000000001,00:00:01,0000001381,   15.15,    445500
0000000001,00:00:01,0000001381,   15.20,    431100
0000000001,00:00:01,0000001381,   15.25,    461700
0000000001,00:00:01,0000001381,   15.30,    457300
0000000001,00:00:01,0000001381,   15.35,    448100
0000000001,00:00:01,0000001381,   15.40,    442600
0000000001,00:00:01,0000001381,   15.45,    444000
0000000001,00:00:01,0000001381,   15.50,    456700
0000000001,00:00:01,0000001381,   15.55,    449900
0000000001,00:00:01,0000001381,   15.60,    451300
0000000001,00:00:01,0000001381,   15.65,    461200
0000000001,00:00:01,0000001381,   15.70,    453800
0000000001,00:00:01,0000001381,   15.75,    456300
0000000001,00:00:01,0000001381,   15.80,    464500
0000000001,00:00:01,0000001381,   15.85,    453900
0000000001,00:00:01,0000001381,   15.90,    464200
0000000001,00:00:01,0000001381,   15.95,    468700
0000000001,00:00:01,0000001381,   16.00,    456800
0000000001,00:00:01,0000001381,   16.05,    464000
0000000001,00:00:01,0000001381,   16.10,    466600
0000000001,00:00:01,0000001381,   16.15,    476300
0000000001,00:00:01,0000001381,   16.20,    473300
0000000001,00:00:01,0000001381,   16.25,    466100
0000000001,00:00:01,0000001381,   16.30,    480900
0000000001,00:00:01,0000001381,   16.35,    490600
0000000001,00:00:01,0000001381,   16.40,    469700
0000000001,00:00:01,0000001381,   16.45,    492200
0000000001,00:00:01,0000001381,   16.50,    485200
0000000001,00:00:01,0000001381,   16.55,    493600
0000000001,00:00:01,0000001381,   16.60,    480100
0000000001,00:00:01,0000001381,   16.65,    501100
0000000001,00:00:01,0000001381,   16.70,    491300
0000000001,00:00:01,0000001381,   16.75,    490300
0000000001,00:00:01,0000001381,   16.80,    495400
0000000001,00:00:01,0000001381,   16.85,    494400
0000000001,00:00:01,0000001381,   16.90,    513500
0000000001,00:00:01,0000001381,   16.95,    505300
0000000001,00:00:01,0000001381,   17.00,    517900
0000000001,00:00:01,0000001381,   17.05,    501700
0000000001,00:00:01,0000001381,   17.10,    519700
0000000001,00:00:01,0000001381,   17.15,    510800
0000000001,00:00:01,0000001381,   17.20,    534500
0000000001,00:00:01,0000001381,   17.25,    518000
0000000001,00:00:01,0000001381,   17.30,    523500
0000000001,00:00:01,0000001381,   17.35,    520300
0000000001,00:00:01,0000001381,   17.40,    517500
0000000001,00:00:01,0000001381,   17.45,    535900
0000000001,00:00:01,0000001381,   17.50,    537900
0000000001,00:00:01,0000001381,   17.55,    530200
0000000001,00:00:01,0000001381,   17.60,    536800
0000000001,00:00:01,0000001381,   17.65,    546100
0000000001,00:00:01,0000001381,   17.70,    552500
0000000001,00:00:01,0000001381,   17.75,    525700
0000000001,00:00:01,0000001381,   17.80,    547100
0000000001,00:00:01,0000001381,   17.85,    542200
0000000001,00:00:01,0000001381,   17.90,    533800
0000000001,00:00:01,0000001381,   17.95,    553600
0000000001,00:00:01,0000001381,   18.00,    540300
0000000001,00:00:01,0000001381,   18.05,    546200
0000000001,00:00:01,0000001381,   18.10,    561500
0000000001,00:00:01,0000001381,   18.15,    560300
0000000001,00:00:01,0000001381,   18.20,    564200
0000000001,00:00:01,0000001381,   18.25,    567800
0000000001,00:00:01,0000001381,   18.30,    576600
0000000001,00:00:01,0000001381,   18.35,    567600
0000000001,00:00:01,0000001381,   18.40,    560700
0000000001,00:00:01,0000001381,   18.45,    571200
0000000001,00:00:01,0000001381,   18.50,    572700
0000000001,00:00:01,0000001381,   18.55,    567800
0000000001,00:00:01,0000001381,   18.60,    594800
0000000001,00:00:01,0000001381,   18.65,    585200
0000000001,00:00:01,0000001381,   18.70,    577500
0000000001,00:00:01,0000001381,   18.75,    595600
0000000001,00:00:01,0000001381,   18.80,    597100
0000000001,00:00:01,0000001381,   18.85,    603400
0000000001,00:00:01,0000001381,   18.90,    609200
0000000001,00:00:01,0000001381,   18.95,    625700
0000000001,00:00:01,0000001381,   19.00,    613600
0000000001,00:00:01,0000001381,   19.05,    636300
0000000001,00:00:01,0000001381,   19.10,    616200
0000000001,00:00:01,0000001381,   19.15,    616400
0000000001,00:00:01,0000001381,   19.20,    626700
0000000001,00:00:01,0000001381,   19.25,    624900
0000000001,00:00:01,0000001381,   19.30,    653600
0000000001,00:00:01,0000001381,   19.35,    634600
0000000001,00:00:01,0000001381,   19.40,    642200
0000000001,00:00:01,0000001381,   19.45,    657800
