0000000601,scans,0000000052,DataLength
"header",0000000040,"lines"
"Date",19/11/2020,"Time",11:28:46
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","energy",0.00,30.00,0.05,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",-2,"%"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",5.75,"V"
"extractor",-42,"V"
"focus2",-352,"V"
"gate_delay",0.1,"uS"
"gate_width",30.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",10,"%"
"lens1",-68,"V"
"lens2",-112,"V"
"mass",40.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",30,"%"
"Data",1
"Cycle","Time","ms","energy V","SEM c/s"
0000000001,00:00:01,0000001381,    0.00,    433900
0000000001,00:00:01,0000001381,    0.05,    234400
0000000001,00:00:01,0000001381,    0.10,     79100
0000000001,00:00:01,0000001381,    0.15,     24700
0000000001,00:00:01,0000001381,    0.20,     18700
0000000001,00:00:01,0000001381,    0.25,     14700
0000000001,00:00:01,0000001381,    0.30,      5100
0000000001,00:00:01,0000001381,    0.35,      7100
0000000001,00:00:01,0000001381,    0.40,      5100
0000000001,00:00:01,0000001381,    0.45,      6500
0000000001,00:00:01,0000001381,    0.50,      6800
0000000001,00:00:01,0000001381,    0.55,      8000
0000000001,00:00:01,0000001381,    0.60,     11100
0000000001,00:00:01,0000001381,    0.65,     15300
0000000001,00:00:01,0000001381,    0.70,     21800
0000000001,00:00:01,0000001381,    0.75,     24700
0000000001,00:00:01,0000001381,    0.80,     29900
0000000001,00:00:01,0000001381,    0.85,     42500
0000000001,00:00:01,0000001381,    0.90,     57800
0000000001,00:00:01,0000001381,    0.95,     64900
0000000001,00:00:01,0000001381,    1.00,     87100
0000000001,00:00:01,0000001381,    1.05,     80100
0000000001,00:00:01,0000001381,    1.10,     77400
0000000001,00:00:01,0000001381,    1.15,     81700
0000000001,00:00:01,0000001381,    1.20,     72800
0000000001,00:00:01,0000001381,    1.25,     64300
0000000001,00:00:01,0000001381,    1.30,     58400
0000000001,00:00:01,0000001381,    1.35,     50300
0000000001,00:00:01,0000001381,    1.40,     51100
0000000001,00:00:01,0000001381,    1.45,     48600
0000000001,00:00:01,0000001381,    1.50,     40300
0000000001,00:00:01,0000001381,    1.55,     43800
0000000001,00:00:01,0000001381,    1.60,     43100
0000000001,00:00:01,0000001381,    1.65,     46400
0000000001,00:00:01,0000001381,    1.70,     50800
0000000001,00:00:01,0000001381,    1.75,     54500
0000000001,00:00:01,0000001381,    1.80,     60900
0000000001,00:00:01,0000001381,    1.85,     70100
0000000001,00:00:01,0000001381,    1.90,     80300
0000000001,00:00:01,0000001381,    1.95,     93500
0000000001,00:00:01,0000001381,    2.00,    101200
0000000001,00:00:01,0000001381,    2.05,    111400
0000000001,00:00:01,0000001381,    2.10,    112400
0000000001,00:00:01,0000001381,    2.15,    128100
0000000001,00:00:01,0000001381,    2.20,    140600
0000000001,00:00:01,0000001381,    2.25,    156700
0000000001,00:00:01,0000001381,    2.30,    156800
0000000001,00:00:01,0000001381,    2.35,    150400
0000000001,00:00:01,0000001381,    2.40,    172000
0000000001,00:00:01,0000001381,    2.45,    175300
0000000001,00:00:01,0000001381,    2.50,    174200
0000000001,00:00:01,0000001381,    2.55,    179100
0000000001,00:00:01,0000001381,    2.60,    174000
0000000001,00:00:01,0000001381,    2.65,    191900
0000000001,00:00:01,0000001381,    2.70,    200800
0000000001,00:00:01,0000001381,    2.75,    200500
0000000001,00:00:01,0000001381,    2.80,    200400
0000000001,00:00:01,0000001381,    2.85,    214300
0000000001,00:00:01,0000001381,    2.90,    231700
0000000001,00:00:01,0000001381,    2.95,    245700
0000000001,00:00:01,0000001381,    3.00,    246600
0000000001,00:00:01,0000001381,    3.05,    271900
0000000001,00:00:01,0000001381,    3.10,    271800
0000000001,00:00:01,0000001381,    3.15,    277100
0000000001,00:00:01,0000001381,    3.20,    286100
0000000001,00:00:01,0000001381,    3.25,    312300
0000000001,00:00:01,0000001381,    3.30,    316500
0000000001,00:00:01,0000001381,    3.35,    340300
0000000001,00:00:01,0000001381,    3.40,    343300
0000000001,00:00:01,0000001381,    3.45,    343000
0000000001,00:00:01,0000001381,    3.50,    349300
0000000001,00:00:01,0000001381,    3.55,    372700
0000000001,00:00:01,0000001381,    3.60,    391400
0000000001,00:00:01,0000001381,    3.65,    388400
0000000001,00:00:01,0000001381,    3.70,    402900
0000000001,00:00:01,0000001381,    3.75,    405000
0000000001,00:00:01,0000001381,    3.80,    416200
0000000001,00:00:01,0000001381,    3.85,    425800
0000000001,00:00:01,0000001381,    3.90,    444800
0000000001,00:00:01,0000001381,    3.95,    439100
0000000001,00:00:01,0000001381,    4.00,    453100
0000000001,00:00:01,0000001381,    4.05,    455300
0000000001,00:00:01,0000001381,    4.10,    475200
0000000001,00:00:01,0000001381,    4.15,    483200
0000000001,00:00:01,0000001381,    4.20,    479800
0000000001,00:00:01,0000001381,    4.25,    494300
0000000001,00:00:01,0000001381,    4.30,    492700
0000000001,00:00:01,0000001381,    4.35,    499300
0000000001,00:00:01,0000001381,    4.40,    510900
0000000001,00:00:01,0000001381,    4.45,    527400
0000000001,00:00:01,0000001381,    4.50,    543400
0000000001,00:00:01,0000001381,    4.55,    544400
0000000001,00:00:01,0000001381,    4.60,    553600
0000000001,00:00:01,0000001381,    4.65,    551900
0000000001,00:00:01,0000001381,    4.70,    564900
0000000001,00:00:01,0000001381,    4.75,    588800
0000000001,00:00:01,0000001381,    4.80,    566600
0000000001,00:00:01,0000001381,    4.85,    579600
0000000001,00:00:01,0000001381,    4.90,    590900
0000000001,00:00:01,0000001381,    4.95,    592300
0000000001,00:00:01,0000001381,    5.00,    621400
0000000001,00:00:01,0000001381,    5.05,    609100
0000000001,00:00:01,0000001381,    5.10,    603600
0000000001,00:00:01,0000001381,    5.15,    610800
0000000001,00:00:01,0000001381,    5.20,    638800
0000000001,00:00:01,0000001381,    5.25,    610100
0000000001,00:00:01,0000001381,    5.30,    607500
0000000001,00:00:01,0000001381,    5.35,    620900
0000000001,00:00:01,0000001381,    5.40,    610500
0000000001,00:00:01,0000001381,    5.45,    634200
0000000001,00:00:01,0000001381,    5.50,    617400
0000000001,00:00:01,0000001381,    5.55,    609200
0000000001,00:00:01,0000001381,    5.60,    599700
0000000001,00:00:01,0000001381,    5.65,    617900
0000000001,00:00:01,0000001381,    5.70,    611000
0000000001,00:00:01,0000001381,    5.75,    618900
0000000001,00:00:01,0000001381,    5.80,    623700
0000000001,00:00:01,0000001381,    5.85,    618600
0000000001,00:00:01,0000001381,    5.90,    621800
0000000001,00:00:01,0000001381,    5.95,    626400
0000000001,00:00:01,0000001381,    6.00,    612800
0000000001,00:00:01,0000001381,    6.05,    619600
0000000001,00:00:01,0000001381,    6.10,    635000
0000000001,00:00:01,0000001381,    6.15,    620700
0000000001,00:00:01,0000001381,    6.20,    625600
0000000001,00:00:01,0000001381,    6.25,    632500
0000000001,00:00:01,0000001381,    6.30,    624000
0000000001,00:00:01,0000001381,    6.35,    622600
0000000001,00:00:01,0000001381,    6.40,    632100
0000000001,00:00:01,0000001381,    6.45,    621600
0000000001,00:00:01,0000001381,    6.50,    643200
0000000001,00:00:01,0000001381,    6.55,    634900
0000000001,00:00:01,0000001381,    6.60,    642200
0000000001,00:00:01,0000001381,    6.65,    632300
0000000001,00:00:01,0000001381,    6.70,    613000
0000000001,00:00:01,0000001381,    6.75,    621200
0000000001,00:00:01,0000001381,    6.80,    624700
0000000001,00:00:01,0000001381,    6.85,    622800
0000000001,00:00:01,0000001381,    6.90,    612300
0000000001,00:00:01,0000001381,    6.95,    614700
0000000001,00:00:01,0000001381,    7.00,    594200
0000000001,00:00:01,0000001381,    7.05,    613600
0000000001,00:00:01,0000001381,    7.10,    591000
0000000001,00:00:01,0000001381,    7.15,    605100
0000000001,00:00:01,0000001381,    7.20,    575700
0000000001,00:00:01,0000001381,    7.25,    591400
0000000001,00:00:01,0000001381,    7.30,    590800
0000000001,00:00:01,0000001381,    7.35,    592900
0000000001,00:00:01,0000001381,    7.40,    598800
0000000001,00:00:01,0000001381,    7.45,    588200
0000000001,00:00:01,0000001381,    7.50,    584500
0000000001,00:00:01,0000001381,    7.55,    579800
0000000001,00:00:01,0000001381,    7.60,    590900
0000000001,00:00:01,0000001381,    7.65,    559200
0000000001,00:00:01,0000001381,    7.70,    566100
0000000001,00:00:01,0000001381,    7.75,    574700
0000000001,00:00:01,0000001381,    7.80,    566400
0000000001,00:00:01,0000001381,    7.85,    556100
0000000001,00:00:01,0000001381,    7.90,    572300
